name	type	layer
R-HSA-170984	Pathway	1
R-HSA-174824	Pathway	1
R-HSA-177929	Pathway	1
R-HSA-179812	Pathway	1
R-HSA-180292	Pathway	1
R-HSA-180336	Pathway	1
R-HSA-186763	Pathway	1
R-HSA-186797	Pathway	1
R-HSA-187037	Pathway	1
R-HSA-187687	Pathway	1
R-HSA-187706	Pathway	1
R-HSA-194138	Pathway	1
R-HSA-198203	Pathway	1
R-HSA-198693	Pathway	1
R-HSA-209776	Pathway	1
R-HSA-209931	Pathway	1
R-HSA-212436	Pathway	1
R-HSA-2172127	Pathway	1
R-HSA-2219528	Pathway	1
R-HSA-2262752	Pathway	1
R-HSA-2404192	Pathway	1
R-HSA-2424491	Pathway	1
R-HSA-2428924	Pathway	1
R-HSA-2428928	Pathway	1
R-HSA-2454202	Pathway	1
R-HSA-2586552	Pathway	1
R-HSA-2730905	Pathway	1
R-HSA-2871796	Pathway	1
R-HSA-3299685	Pathway	1
R-HSA-372790	Pathway	1
R-HSA-373076	Pathway	1
R-HSA-373080	Pathway	1
R-HSA-375165	Pathway	1
R-HSA-375276	Pathway	1
R-HSA-375280	Pathway	1
R-HSA-380095	Pathway	1
R-HSA-380615	Pathway	1
R-HSA-383280	Pathway	1
R-HSA-388396	Pathway	1
R-HSA-390666	Pathway	1
R-HSA-392451	Pathway	1
R-HSA-397014	Pathway	1
R-HSA-397795	Pathway	1
R-HSA-400042	Pathway	1
R-HSA-416476	Pathway	1
R-HSA-418555	Pathway	1
R-HSA-418594	Pathway	1
R-HSA-419037	Pathway	1
R-HSA-422356	Pathway	1
R-HSA-422475	Pathway	1
R-HSA-4420097	Pathway	1
R-HSA-449147	Pathway	1
R-HSA-451927	Pathway	1
R-HSA-500792	Pathway	1
R-HSA-512988	Pathway	1
R-HSA-5218921	Pathway	1
R-HSA-556833	Pathway	1
R-HSA-5576891	Pathway	1
R-HSA-5576892	Pathway	1
R-HSA-5576893	Pathway	1
R-HSA-5656169	Pathway	1
R-HSA-5663202	Pathway	1
R-HSA-5663205	Pathway	1
R-HSA-5673001	Pathway	1
R-HSA-5674400	Pathway	1
R-HSA-5683057	Pathway	1
R-HSA-5684996	Pathway	1
R-HSA-6798695	Pathway	1
R-HSA-71291	Pathway	1
R-HSA-73847	Pathway	1
R-HSA-73893	Pathway	1
R-HSA-73894	Pathway	1
R-HSA-73923	Pathway	1
R-HSA-74160	Pathway	1
R-HSA-74259	Pathway	1
R-HSA-74751	Pathway	1
R-HSA-74752	Pathway	1
R-HSA-76002	Pathway	1
R-HSA-881907	Pathway	1
R-HSA-8851680	Pathway	1
R-HSA-8853659	Pathway	1
R-HSA-8855121	Pathway	1
R-HSA-8862803	Pathway	1
R-HSA-8863678	Pathway	1
R-HSA-8866376	Pathway	1
R-HSA-888568	Pathway	1
R-HSA-888590	Pathway	1
R-HSA-909733	Pathway	1
R-HSA-912526	Pathway	1
R-HSA-913531	Pathway	1
R-HSA-936440	Pathway	1
R-HSA-983705	Pathway	1
HSA04934  	Pathway	1
HSA05207  	Pathway	1
HSA03272  	Pathway	1
HSA04662  	Pathway	1
HSA05144  	Pathway	1
HSA05160  	Pathway	1
HSA04360  	Pathway	1
HSA05010  	Pathway	1
HSA05022  	Pathway	1
HSA05030  	Pathway	1
HSA04020  	Pathway	1
HSA04024  	Pathway	1
HSA04080  	Pathway	1
HSA04082  	Pathway	1
HSA04151  	Pathway	1
HSA04725  	Pathway	1
HSA04810  	Pathway	1
HSA04610  	Pathway	1
HSA04972  	Pathway	1
HSA04974  	Pathway	1
HSA04140  	Pathway	1
HSA04142  	Pathway	1
HSA04210  	Pathway	1
HSA04612  	Pathway	1
HSA04621  	Pathway	1
HSA04924  	Pathway	1
HSA04015  	Pathway	1
HSA04081  	Pathway	1
HSA04540  	Pathway	1
HSA04728  	Pathway	1
HSA05012  	Pathway	1
HSA05034  	Pathway	1
HSA03083  	Pathway	1
HSA03250  	Pathway	1
