"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"JAZF1-AS1",4.31001453619457e-09,0.182244940170355,0.13,0.121,8.08994425397809e-09
"HDHD3",4.3746751353249e-09,-0.322994106724324,0.048,0.055,8.20989275223287e-09
"PFKFB2",4.39413403307258e-09,-0.240189075194098,0.093,0.101,8.24498502384066e-09
"HERC3",4.40729540078429e-09,0.118161942417001,0.269,0.258,8.26825075966638e-09
"CAMSAP1",4.4346956836196e-09,0.136170177455469,0.231,0.219,8.31821657095182e-09
"AP000446.1",4.44709486773883e-09,0.10892552188348,0.061,0.054,8.34003221739267e-09
"CBLN1",4.46707912798716e-09,-0.238771965935102,0.011,0.014,8.37606283355601e-09
"CDK20",4.47324999870475e-09,-0.194952410563624,0.05,0.057,8.38618447407485e-09
"POLR2H",4.47522429217068e-09,-0.224016214045272,0.091,0.1,8.38843648200795e-09
"SP100",4.50981648530487e-09,0.235393863846078,0.032,0.027,8.45181669810763e-09
"TSBP1-AS1",4.54202735997558e-09,0.135831138803927,0.165,0.155,8.51071298274824e-09
"PSMD9",4.54819534319034e-09,0.178991479455072,0.098,0.089,8.51958748761175e-09
"B3GAT3",4.54833382321767e-09,-0.116857072945623,0.149,0.159,8.51958748761175e-09
"RBMS3-AS2",4.55291534323994e-09,-0.330910274454491,0.022,0.027,8.52669734026521e-09
"CELF6",4.5737446977013e-09,0.117380403385414,0.138,0.128,8.56422842359911e-09
"CTH",4.5934918778436e-09,-0.55084664986893,0.048,0.055,8.59972056012438e-09
"MPP4",4.61150285823514e-09,0.403841996683523,0.037,0.031,8.63195058042255e-09
"AC005562.1",4.62205213645557e-09,0.109962547909016,0.136,0.127,8.65020485213512e-09
"DUS1L",4.64807331329304e-09,-0.192609995941887,0.119,0.128,8.69740360795703e-09
"ERCC6",4.67194938593814e-09,0.168574900370249,0.147,0.137,8.7405728942784e-09
"PHF20",4.69774576691533e-09,0.128984922412907,0.254,0.244,8.78731930991178e-09
"TMTC1",4.70133511832677e-09,0.129383901697326,0.309,0.298,8.79251764373729e-09
"OMA1",4.74941313401851e-09,0.101043076520683,0.034,0.029,8.88090331160346e-09
"AL031651.2",4.78158385693772e-09,0.328509663033511,0.01,0.007,8.93951868222454e-09
"ZCWPW2",4.83188281956389e-09,0.143637826895464,0.13,0.121,9.03200008184113e-09
"MUSTN1",4.84054953925622e-09,-0.456932692580162,0.016,0.019,9.0466419308421e-09
