"Query","HGNC_ID","Source"
"KCNMA1","KCNMA1","biomart"
"KCNN4","KCNN4","biomart"
"KCNQ1","KCNQ1","biomart"
"KDM1A","KDM1A","biomart"
"KDM2A","KDM2A","biomart"
"KDM2B","KDM2B","biomart"
"KDM3A","KDM3A","biomart"
"KDM4A","KDM4A","biomart"
"KDM4B","KDM4B","biomart"
"KDM4C","KDM4C","biomart"
"KDM4D","KDM4D","biomart"
"KDM4E","KDM4E","biomart"
"KDM5A","KDM5A","biomart"
"KDM5B","KDM5B","biomart"
"KDM5C","KDM5C","biomart"
"KDM6B","KDM6B","biomart"
"KDR","KDR","biomart"
"KEAP1","KEAP1","biomart"
"KHK","KHK","biomart"
"KIF11","KIF11","biomart"
"KIF20A","KIF20A","biomart"
"KISS1R","KISS1R","biomart"
"KIT","KIT","biomart"
"KLK1","KLK1","biomart"
"KLK2","KLK2","biomart"
"KLK3","KLK3","biomart"
"KLKB1","KLKB1","biomart"
"KMO","KMO","biomart"
"KYAT3","KYAT3","biomart"
"KYNU","KYNU","biomart"
"LAP3","LAP3","biomart"
"LCK","LCK","biomart"
"LDHA","LDHA","biomart"
"LDHB","LDHB","biomart"
"LGALS3","LGALS3","biomart"
"LGALS4","LGALS4","biomart"
"LGALS7","LGALS7","biomart"
"LGALS8","LGALS8","biomart"
"LGMN","LGMN","biomart"
"LIMK1","LIMK1","biomart"
"LIMK2","LIMK2","biomart"
"LIPA","LIPA","biomart"
"LNPEP","LNPEP","biomart"
"LPAR1","LPAR1","biomart"
"LPAR2","LPAR2","biomart"
"LPAR3","LPAR3","biomart"
"LPAR4","LPAR4","biomart"
"LPAR5","LPAR5","biomart"
"LPAR6","LPAR6","biomart"
"LRRK2","LRRK2","biomart"
"LTA4H","LTA4H","biomart"
"LTB4R","LTB4R","biomart"
"LYN","LYN","biomart"
"LYPLA1","LYPLA1","biomart"
"LYPLA2","LYPLA2","biomart"
"MAG","MAG","biomart"
"MAOA","MAOA","biomart"
"MAOB","MAOB","biomart"
"MAP2K1","MAP2K1","biomart"
"MAP2K2","MAP2K2","biomart"
"MAP2K3","MAP2K3","biomart"
"MAP2K4","MAP2K4","biomart"
"MAP3K12","MAP3K12","biomart"
"MAP3K13","MAP3K13","biomart"
"MAP3K14","MAP3K14","biomart"
"MAP3K15","MAP3K15","biomart"
"MAP3K19","MAP3K19","biomart"
"MAP3K20","MAP3K20","biomart"
"MAP3K7","MAP3K7","biomart"
"MAP3K8","MAP3K8","biomart"
"MAPK1","MAPK1","biomart"
"MAPK10","MAPK10","biomart"
"MAPK11","MAPK11","biomart"
"MAPK14","MAPK14","biomart"
"MAPK15","MAPK15","biomart"
"MAPK3","MAPK3","biomart"
"MAPK8","MAPK8","biomart"
"MAPK9","MAPK9","biomart"
"MAPKAPK2","MAPKAPK2","biomart"
"MAPKAPK5","MAPKAPK5","biomart"
"MAPT","MAPT","biomart"
"MAST1","MAST1","biomart"
"MAST3","MAST3","biomart"
"MB","MB","biomart"
"MBD2","MBD2","biomart"
"MCHR1","MCHR1","biomart"
"MCL1","MCL1","biomart"
"MDM2","MDM2","biomart"
"MELK","MELK","biomart"
"MERTK","MERTK","biomart"
"MET","MET","biomart"
"METAP1","METAP1","biomart"
"METAP2","METAP2","biomart"
"MGAM","MGAM","biomart"
"MGLL","MGLL","biomart"
"MIF","MIF","biomart"
"MKNK1","MKNK1","biomart"
"MKNK2","MKNK2","biomart"
"MME","MME","biomart"
"MMP1","MMP1","biomart"
"MMP10","MMP10","biomart"
"MMP12","MMP12","biomart"
"MMP13","MMP13","biomart"
"MMP14","MMP14","biomart"
"MMP16","MMP16","biomart"
"MMP2","MMP2","biomart"
"MMP3","MMP3","biomart"
"MMP7","MMP7","biomart"
"MMP8","MMP8","biomart"
"MMP9","MMP9","biomart"
"MPG","MPG","biomart"
"MPI","MPI","biomart"
"MPO","MPO","biomart"
"MT-ND4","MT-ND4","biomart"
"MTNR1A","MTNR1A","biomart"
"MTNR1B","MTNR1B","biomart"
"MTOR","MTOR","biomart"
"MYLK","MYLK","biomart"
"NAAA","NAAA","biomart"
"NAE1","NAE1","biomart"
"NAMPT","NAMPT","biomart"
"NEK1","NEK1","biomart"
"NEK2","NEK2","biomart"
"NEK6","NEK6","biomart"
"NEU2","NEU2","biomart"
"NEU3","NEU3","biomart"
"NEU4","NEU4","biomart"
"NFE2L2","NFE2L2","biomart"
"NFKB1","NFKB1","biomart"
"NGFR","NGFR","biomart"
"NISCH","NISCH","biomart"
"NLRP3","NLRP3","biomart"
"NMUR2","NMUR2","biomart"
"NOS1","NOS1","biomart"
"NOS2","NOS2","biomart"
"NOS3","NOS3","biomart"
"NOTCH1","NOTCH1","biomart"
"NOTCH3","NOTCH3","biomart"
"NOTUM","NOTUM","biomart"
"NOX1","NOX1","biomart"
"NOX4","NOX4","biomart"
"NPC1L1","NPC1L1","biomart"
"NPY5R","NPY5R","biomart"
"NQO2","NQO2","biomart"
"NR0B2","NR0B2","biomart"
"NR1H2","NR1H2","biomart"
"NR1H3","NR1H3","biomart"
"NR1H4","NR1H4","biomart"
"NR1I2","NR1I2","biomart"
"NR1I3","NR1I3","biomart"
"NR3C1","NR3C1","biomart"
"NR3C2","NR3C2","biomart"
