"Query","HGNC_ID","Source"
"NR4A1","NR4A1","biomart"
"NR5A1","NR5A1","biomart"
"NRP1","NRP1","biomart"
"NTRK1","NTRK1","biomart"
"NTRK2","NTRK2","biomart"
"NTSR1","NTSR1","biomart"
"NTSR2","NTSR2","biomart"
"NUAK1","NUAK1","biomart"
"NUDT1","NUDT1","biomart"
"OAT","OAT","biomart"
"ODC1","ODC1","biomart"
"OGA","OGA","biomart"
"OPRD1","OPRD1","biomart"
"OPRK1","OPRK1","biomart"
"OPRL1","OPRL1","biomart"
"OPRM1","OPRM1","biomart"
"OXER1","OXER1","biomart"
"OXSR1","OXSR1","biomart"
"OXTR","OXTR","biomart"
"P2RX3","P2RX3","biomart"
"P2RX7","P2RX7","biomart"
"P2RY10","P2RY10","biomart"
"P2RY12","P2RY12","biomart"
"P4HTM","P4HTM","biomart"
"PABPC1","PABPC1","biomart"
"PAM","PAM","biomart"
"PAOX","PAOX","biomart"
"PARP1","PARP1","biomart"
"PARP10","PARP10","biomart"
"PARP15","PARP15","biomart"
"PARP2","PARP2","biomart"
"PCSK6","PCSK6","biomart"
"PCSK7","PCSK7","biomart"
"PDE10A","PDE10A","biomart"
"PDE1A","PDE1A","biomart"
"PDE1B","PDE1B","biomart"
"PDE1C","PDE1C","biomart"
"PDE2A","PDE2A","biomart"
"PDE4A","PDE4A","biomart"
"PDE4B","PDE4B","biomart"
"PDE4C","PDE4C","biomart"
"PDE4D","PDE4D","biomart"
"PDE5A","PDE5A","biomart"
"PDE6A","PDE6A","biomart"
"PDE6D","PDE6D","biomart"
"PDE7A","PDE7A","biomart"
"PDE8B","PDE8B","biomart"
"PDE9A","PDE9A","biomart"
"PDF","PDF","biomart"
"PDGFRA","PDGFRA","biomart"
"PDGFRB","PDGFRB","biomart"
"PDK1","PDK1","biomart"
"PDPK1","PDPK1","biomart"
"PEPD","PEPD","biomart"
"PER2","PER2","biomart"
"PFKFB3","PFKFB3","biomart"
"PGA5","PGA5","biomart"
"PGC","PGC","biomart"
"PGD","PGD","biomart"
"PGF","PGF","biomart"
"PGK1","PGK1","biomart"
"PGR","PGR","biomart"
"PHF8","PHF8","biomart"
"PHLPP2","PHLPP2","biomart"
"PI4KB","PI4KB","biomart"
"PIK3C2B","PIK3C2B","biomart"
"PIK3C2G","PIK3C2G","biomart"
"PIK3CA","PIK3CA","biomart"
"PIK3CB","PIK3CB","biomart"
"PIK3CD","PIK3CD","biomart"
"PIK3CG","PIK3CG","biomart"
"PIK3R1","PIK3R1","biomart"
"PIM1","PIM1","biomart"
"PIM2","PIM2","biomart"
"PIM3","PIM3","biomart"
"PIN1","PIN1","biomart"
"PIP4K2C","PIP4K2C","biomart"
"PIP5K1C","PIP5K1C","biomart"
"PITRM1","PITRM1","biomart"
"PKN1","PKN1","biomart"
"PLA2G10","PLA2G10","biomart"
"PLA2G1B","PLA2G1B","biomart"
"PLA2G2A","PLA2G2A","biomart"
"PLA2G4A","PLA2G4A","biomart"
"PLA2G5","PLA2G5","biomart"
"PLA2G7","PLA2G7","biomart"
"PLAA","PLAA","biomart"
"PLAT","PLAT","biomart"
"PLAU","PLAU","biomart"
"PLEC","PLEC","biomart"
"PLG","PLG","biomart"
"PLK1","PLK1","biomart"
"PLK4","PLK4","biomart"
"PNMT","PNMT","biomart"
"PNP","PNP","biomart"
"POLA1","POLA1","biomart"
"POLB","POLB","biomart"
"PON1","PON1","biomart"
"PPARA","PPARA","biomart"
"PPARD","PPARD","biomart"
"PPARG","PPARG","biomart"
"PPIA","PPIA","biomart"
"PPM1A","PPM1A","biomart"
"PPM1B","PPM1B","biomart"
"PPP1CA","PPP1CA","biomart"
"PPP1CC","PPP1CC","biomart"
"PPP2CA","PPP2CA","biomart"
"PPP2R5A","PPP2R5A","biomart"
"PPP3CA","PPP3CA","biomart"
"PPP5C","PPP5C","biomart"
"PREP","PREP","biomart"
"PRF1","PRF1","biomart"
"PRKAB1","PRKAB1","biomart"
"PRKACA","PRKACA","biomart"
"PRKCA","PRKCA","biomart"
"PRKCB","PRKCB","biomart"
"PRKCD","PRKCD","biomart"
"PRKCE","PRKCE","biomart"
"PRKCG","PRKCG","biomart"
"PRKCH","PRKCH","biomart"
"PRKCQ","PRKCQ","biomart"
"PRKD1","PRKD1","biomart"
"PRKD3","PRKD3","biomart"
"PRKDC","PRKDC","biomart"
"PRMT1","PRMT1","biomart"
"PRSS1","PRSS1","biomart"
"PSEN1","PSEN1","biomart"
"PSMB1","PSMB1","biomart"
"PSMB2","PSMB2","biomart"
"PSMB5","PSMB5","biomart"
"PTAFR","PTAFR","biomart"
"PTGDR","PTGDR","biomart"
"PTGDR2","PTGDR2","biomart"
"PTGER1","PTGER1","biomart"
"PTGER2","PTGER2","biomart"
"PTGER3","PTGER3","biomart"
"PTGER4","PTGER4","biomart"
"PTGES","PTGES","biomart"
