"","x"
"719","NUDT1"
"720","OAT"
"721","ODC1"
"722","OGA"
"723","OPRD1"
"724","OPRK1"
"725","OPRL1"
"726","OPRM1"
"727","OXER1"
"728","OXSR1"
"729","OXTR"
"730","P2RX3"
"731","P2RX7"
"732","P2RY10"
"733","P2RY12"
"734","P4HTM"
"735","PABPC1"
"736","PAM"
"737","PAOX"
"738","PARP1"
"739","PARP10"
"740","PARP15"
"741","PARP2"
"742","PCSK6"
"743","PCSK7"
"744","PDE10A"
"745","PDE1A"
"746","PDE1B"
"747","PDE1C"
"748","PDE2A"
"749","PDE4A"
"750","PDE4B"
"751","PDE4C"
"752","PDE4D"
"753","PDE5A"
"754","PDE6A"
"755","PDE6D"
"756","PDE7A"
"757","PDE8B"
"758","PDE9A"
"759","PDF"
"760","PDGFRA"
"761","PDGFRA PDGFRB"
"762","PDGFRB"
"763","PDK1"
"764","PDPK1"
"765","PEPD"
"766","PER2"
"767","PFKFB3"
"768","PGA5"
"769","PGC"
"770","PGD"
"771","PGF"
"772","PGK1"
"773","PGR"
"774","PHF8"
"775","PHLPP2"
"776","PI4KB"
"777","PIK3C2B"
"778","PIK3C2G"
"779","PIK3CA"
"780","PIK3CA PIK3R1"
"781","PIK3CB"
"782","PIK3CD"
"783","PIK3CG"
"784","PIK3R1"
"785","PIM1"
"786","PIM2"
"787","PIM3"
"788","PIN1"
"789","PIP4K2C"
"790","PIP5K1C"
"791","PITRM1"
"792","PKN1"
"793","PLA2G10"
"794","PLA2G1B"
"795","PLA2G2A"
"796","PLA2G4A"
"797","PLA2G5"
"798","PLA2G7"
"799","PLAA"
"800","PLAT"
"801","PLAU"
"802","PLEC"
"803","PLG"
"804","PLK1"
"805","PLK4"
"806","PNMT"
"807","PNP"
"808","POLA1"
"809","POLB"
"810","PON1"
"811","PPARA"
"812","PPARD"
"813","PPARG"
"814","PPIA"
"815","PPM1A"
"816","PPM1B"
"817","PPP1CA"
"818","PPP1CC"
"819","PPP2CA"
"820","PPP2R5A"
"821","PPP3CA"
"822","PPP5C"
"823","PREP"
"824","PRF1"
"825","PRKAB1"
"826","PRKACA"
"827","PRKAG1 PRKAB1 PRKAA2"
"828","PRKCA"
"829","PRKCB"
"830","PRKCD"
"831","PRKCE"
"832","PRKCG"
"833","PRKCH"
"834","PRKCQ"
"835","PRKD1"
"836","PRKD3"
"837","PRKDC"
"838","PRMT1"
"839","PRPF4B"
"840","PRSS1"
"841","PSEN1"
"842","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B"
"843","PSMB1"
"844","PSMB2"
"845","PSMB5"
"846","PTAFR"
"847","PTGDR"
"848","PTGDR2"
"849","PTGER1"
"850","PTGER2"
"851","PTGER3"
"852","PTGER4"
"853","PTGES"
"854","PTGES2"
"855","PTGFR"
"856","PTGIR"
"857","PTGS1"
"858","PTGS2"
"859","PTK2"
"860","PTK2B"
"861","PTK6"
"862","PTPA"
"863","PTPN1"
"864","PTPN11"
"865","PTPN2"
"866","PTPN22"
"867","PTPN6"
"868","PTPRA"
"869","PTPRC"
"870","PTPRF"
"871","PTPRS"
"872","PYGB"
"873","PYGL"
"874","PYGM"
"875","QDPR"
"876","QPCT"
"877","QPCTL"
"878","RAF1"
"879","RARA"
"880","RARB"
"881","RARG"
"882","RASGRP1"
"883","RASGRP3"
"884","RBP4"
"885","RCOR1 KDM1A"
"886","RELA"
"887","REN"
"888","RET"
"889","RHOA"
"890","RIPK2"
"891","RNASEH1"
"892","RNPEP"
"893","ROCK1"
"894","ROCK2"
"895","RORA"
"896","RORB"
"897","RORC"
"898","ROS1"
"899","RPS6KA1"
"900","RPS6KA3"
"901","RPS6KA5"
"902","RPS6KB1"
"903","RXRA"
"904","RXRB"
"905","RXRG"
"906","S1PR1"
"907","S1PR2"
"908","S1PR3"
"909","SAE1 UBA2"
"910","SBK1"
"911","SCD"
"912","SCN5A"
"913","SCN9A"
"914","SELE"
"915","SELL"
"916","SELP"
"917","SERPINA6"
"918","SERPINE1"
"919","SERPINH1"
"920","SF3B3"
"921","SFRP1"
"922","SGK1"
"923","SHBG"
"924","SHH"
"925","SI"
"926","SIGMAR1"
"927","SIRT1"
"928","SIRT2"
"929","SIRT3"
"930","SLC10A2"
"931","SLC13A5"
"932","SLC15A1"
"933","SLC16A1"
"934","SLC16A3"
"935","SLC18A3"
"936","SLC19A1"
"937","SLC1A1"
"938","SLC1A2"
"939","SLC22A12"
"940","SLC22A2"
"941","SLC22A6"
"942","SLC28A2"
"943","SLC29A1"
"944","SLC33A1"
"945","SLC46A1"
"946","SLC47A1"
"947","SLC47A2"
"948","SLC5A1"
"949","SLC5A2"
"950","SLC5A4"
"951","SLC6A1"
"952","SLC6A11"
"953","SLC6A12"
"954","SLC6A13"
"955","SLC6A2"
"956","SLC6A3"
"957","SLC6A4"
"958","SLC6A9"
"959","SLC7A5"
"960","SLC9A1"
"961","SLC9A2"
"962","SLCO1B1"
"963","SMARCA2"
"964","SMO"
"965","SNCA"
"966","SNRK"
"967","SOAT1"
"968","SOAT2"
"969","SORD"
"970","SORT1"
"971","SPHK1"
"972","SPSB2"
"973","SQLE"
"974","SRC"
"975","SRD5A1"
"976","SRD5A2"
"977","SSTR1"
"978","SSTR2"
"979","SSTR3"
"980","SSTR4"
"981","SSTR5"
"982","ST3GAL3"
"983","ST6GAL1"
"984","STAT1"
"985","STAT3"
"986","STK16"
"987","STK17A"
"988","STK17B"
"989","STK26"
"990","STK3"
"991","STK38"
"992","STK39"
"993","STS"
"994","SYK"
"995","TAAR1"
"996","TACR1"
"997","TACR2"
"998","TAS1R3 TAS1R1"
"999","TAS2R31"
"1000","TBK1"
"1001","TBXA2R"
"1002","TBXAS1"
"1003","TDO2"
"1004","TDP1"
"1005","TDP2"
"1006","TEK"
"1007","TERT"
"1008","TGFBR1"
"1009","TGM2"
"1010","TH"
"1011","THRA"
"1012","THRB"
"1013","TK1"
"1014","TLR4"
"1015","TLR9"
"1016","TNF"
"1017","TNFRSF10A"
"1018","TNK2"
"1019","TNKS"
"1020","TNKS2"
"1021","TNNC1 TNNT2 TNNI3"
"1022","TNNI3K"
"1023","TOP1"
"1024","TOP2A"
"1025","TPMT"
"1026","TRPA1"
"1027","TRPM6"
"1028","TRPM8"
"1029","TRPV1"
"1030","TRPV3"
"1031","TSPO"
