"Source"	"Target"
"Lacticaseibacillus"	"91469"
"Lacticaseibacillus"	"91435"
"Lacticaseibacillus"	"348154"
"Lactiplantibacillus"	"10308378"
"Lactiplantibacillus"	"52920332"
"Lactiplantibacillus"	"45093073"
"Lactiplantibacillus"	"54670067"
"Lactobacillus"	"104775"
"Lactobacillus"	"1145"
"Lactobacillus"	"689043"
"Lactobacillus"	"6508"
"Lactococcus"	"91435"
"Lactococcus"	"176907"
"Lactococcus"	"91469"
"Latilactobacillus"	"1826"
"Latilactobacillus"	"445580"
"Latilactobacillus"	"119"
"Lawsonibacter"	"175"
"Lawsonibacter"	"104775"
"Limosilactobacillus"	"702"
"Limosilactobacillus"	"348154"
"Limosilactobacillus"	"176907"
"Limosilactobacillus"	"91469"
"Limosilactobacillus"	"89472"
"Limosilactobacillus"	"129849310"
"Marvinbryantia"	"49831816"
"Marvinbryantia"	"439709"
"Mediterraneibacter"	"439709"
"Megasphaera"	"nocid4"
"Megasphaera"	"nocid5"
"Methanobrevibacter"	"58177709"
"Methanobrevibacter"	"131751737"
"Methanobrevibacter"	"102066451"
"Microbacterium"	"6723"
"Mogibacterium"	"49831816"
"Mollicutes"	"3744"
"Morganella"	"175"
"Morganella"	"104745"
"Mycoplasmatota"	"3744"
