"","x"
"792","CHEMBL5776"
"793","CHEMBL4653"
"794","CHEMBL4793"
"795","CHEMBL310"
"796","CHEMBL1287623"
"797","CHEMBL1287625"
"798","CHEMBL2252"
"799","CHEMBL3421525"
"800","CHEMBL3421524"
"801","CHEMBL4092"
"802","CHEMBL4973"
"803","CHEMBL5705"
"804","CHEMBL5896"
"805","CHEMBL2028"
"806","CHEMBL3492"
"807","CHEMBL4208"
"808","CHEMBL4198"
"809","CHEMBL1901"
"810","CHEMBL5335"
"811","CHEMBL4915"
"812","CHEMBL4566"
"813","CHEMBL2284"
"814","CHEMBL4444"
"815","CHEMBL3795"
"816","CHEMBL1741208"
"817","CHEMBL3982"
"818","CHEMBL2730"
"819","CHEMBL2429708"
"820","CHEMBL4601"
"821","CHEMBL5903"
"822","CHEMBL3268"
"823","CHEMBL3667"
"824","CHEMBL2689"
"825","CHEMBL2964"
"826","CHEMBL3068"
"827","CHEMBL5413"
"828","CHEMBL2940"
"829","CHEMBL1981"
"830","CHEMBL2073673"
"831","CHEMBL4031"
"832","CHEMBL2741"
"833","CHEMBL1811"
"834","CHEMBL5161"
"835","CHEMBL3721"
"836","CHEMBL1791"
"837","CHEMBL3720"
"838","CHEMBL3921"
"839","CHEMBL4051"
"840","CHEMBL3085"
"841","CHEMBL4128"
"842","CHEMBL5905"
"843","CHEMBL2146315"
"844","CHEMBL1889"
"845","CHEMBL2049"
"846","CHEMBL3166"
"847","CHEMBL2167"
"848","CHEMBL1870"
"849","CHEMBL2004"
"850","CHEMBL3596075"
"851","CHEMBL3429"
"852","CHEMBL3751"
"853","CHEMBL3438"
"854","CHEMBL6093"
"855","CHEMBL4245"
"856","CHEMBL3622"
"857","CHEMBL4317"
"858","CHEMBL5261"
"859","CHEMBL3863"
"860","CHEMBL3317337"
"861","CHEMBL3526"
"862","CHEMBL1075138"
"863","CHEMBL5221"
"864","CHEMBL3974"
"865","CHEMBL2617"
"866","CHEMBL1954"
"867","CHEMBL3257"
"868","CHEMBL1850"
"869","CHEMBL2758"
"870","CHEMBL4526"
"871","CHEMBL3468"
"872","CHEMBL266"
"873","CHEMBL319"
"874","CHEMBL4683"
"875","CHEMBL3202"
"876","CHEMBL2391"
"877","CHEMBL5480"
"878","CHEMBL1293255"
"879","CHEMBL3414409"
"880","CHEMBL4477"
"881","CHEMBL6175"
"882","CHEMBL3798"
"883","CHEMBL1163125"
"884","CHEMBL254"
"885","CHEMBL5678"
"886","CHEMBL2382"
"887","CHEMBL3891"
"888","CHEMBL3913"
"889","CHEMBL4080"
"890","CHEMBL3595"
"891","CHEMBL2693"
"892","CHEMBL2592"
"893","CHEMBL3361"
"894","CHEMBL274"
"895","CHEMBL2029198"
"896","CHEMBL5048"
"897","CHEMBL5023"
"898","CHEMBL1293293"
"899","CHEMBL4649"
"900","CHEMBL4039"
"901","CHEMBL3272"
"902","CHEMBL2015"
"903","CHEMBL1741200"
"904","CHEMBL3780"
"905","CHEMBL4792"
"906","CHEMBL2331047"
"907","CHEMBL1795091"
"908","CHEMBL1293265"
"909","CHEMBL2164"
"910","CHEMBL1777665"
"911","CHEMBL3562166"
"912","CHEMBL5700"
"913","CHEMBL5968"
"914","CHEMBL3562167"
"915","CHEMBL2288"
"916","CHEMBL3562165"
"917","CHEMBL1869"
"918","CHEMBL4227"
"919","CHEMBL3351190"
"920","CHEMBL2034805"
"921","CHEMBL4602"
"922","CHEMBL1293194"
"923","CHEMBL5366"
"924","CHEMBL3091268"
"925","CHEMBL4431"
"926","CHEMBL3100"
"927","CHEMBL5141"
"928","CHEMBL2805"
"929","CHEMBL4277"
"930","CHEMBL2269"
"931","CHEMBL4797"
"932","CHEMBL4229"
"933","CHEMBL1293287"
"934","CHEMBL2073680"
"935","CHEMBL4028"
"936","CHEMBL3310"
"937","CHEMBL5103"
"938","CHEMBL3710"
