"gene","log2FoldChange","baseMean","t","pvalue","padj","B"
"ENSG00000236700",0.95287222001278,-1.08840347344261,2.83588357880381,0.00616845491925385,0.767519057441701,-3.61181966814558
"ENSG00000249825",-0.541285130072841,0.00380749811550313,-2.83540823307573,0.00617656699552957,0.767519057441701,-3.24220209463115
"ENSG00000123358",-0.720025475978432,4.19754318910503,-2.83390150139411,0.00620234539385546,0.767519057441701,-2.38386036969836
"ENSG00000166592",-0.966108314817619,-0.502497268750922,-2.83178008239846,0.00623880858170674,0.767519057441701,-3.42350156733971
"ENSG00000138829",-0.390744494241697,1.40742664522411,-2.82956950291441,0.0062770144900778,0.767519057441701,-2.831416857044
"ENSG00000185985",-0.220783191567685,5.55004670475106,-2.82949292290646,0.00627834189622658,0.767519057441701,-2.36083480084007
"ENSG00000188215",-0.195982350641449,3.77220310844837,-2.82818569505667,0.006301040794701,0.767519057441701,-2.42197061505301
"ENSG00000111860",-0.16129665377334,5.8019706901641,-2.82596810875699,0.00633972039983655,0.767519057441701,-2.36964469402602
"ENSG00000196329",-0.460911515388591,2.35039451169442,-2.8205326456765,0.00643545439334455,0.767519057441701,-2.63939148284811
"ENSG00000080493",-0.52665426466743,7.44276518714299,-2.81929072888344,0.00645751423779073,0.767519057441701,-2.41743969741083
"ENSG00000166002",0.455926052440758,-0.0323088099007407,2.81854081876808,0.00647086841378865,0.767519057441701,-3.27593877491565
