"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HSPD1",6.25027583941105e-31,-0.2015899098467,0.148,0.169,1.00762874858115e-25
"AC008269.1",6.89677297596738e-31,0.262023574566321,0.292,0.273,1.11136083456429e-25
"CFLAR",7.20157989411439e-31,0.223413121955688,0.118,0.1,1.15996481832481e-25
"ZFHX4",8.00775137519123e-31,-0.468321553308007,0.116,0.133,1.28924535879725e-25
"SELENOT",8.13808344898924e-31,-0.144441842642377,0.211,0.235,1.30964980146452e-25
"CEBPB",8.49889951393903e-31,-0.144437974583039,0.094,0.112,1.3671112855996e-25
"ZNF511",8.66153271192055e-31,-0.409022829637771,0.046,0.058,1.39209261335189e-25
"CSMD2",8.66184559999514e-31,0.187248639989448,0.355,0.335,1.39209261335189e-25
"NFATC3",8.74997141505274e-31,0.16781784306982,0.236,0.212,1.4056354796638e-25
"ILVBL",9.37909252172439e-31,-0.527208932387734,0.04,0.052,1.50603604540403e-25
"SLC6A1",1.01982116404854e-30,-0.253259253835304,0.231,0.252,1.63684336067655e-25
"GPRIN1",1.05864051816736e-30,-0.315192404985953,0.058,0.072,1.69840105687454e-25
"PPP1R1A",1.06634585461901e-30,-0.305439686454045,0.027,0.038,1.71000959517226e-25
"EPAS1",1.11092573116577e-30,-0.390830106911308,0.042,0.055,1.78071450160309e-25
"PI4KA",1.15019733908816e-30,0.137305648840993,0.513,0.497,1.84285225912085e-25
"SPRED1",1.22974375995463e-30,-0.154013801485033,0.347,0.371,1.96943550763809e-25
"AC087500.1",1.25391444769639e-30,0.260851079021177,0.191,0.169,2.00726218022903e-25
"COX17",1.26887643542883e-30,-0.278367822803795,0.073,0.088,2.03032083293731e-25
"ANKIB1",1.34489595245478e-30,0.123869375618141,0.475,0.455,2.15101407652031e-25
"STK11",1.40962713758752e-30,-0.344539373270942,0.099,0.117,2.25355482842875e-25
"ZFAND2A",1.43494517184602e-30,-0.199138324087464,0.045,0.058,2.29302388584331e-25
"SERPINH1",1.43697034302617e-30,-0.742097678306624,0.01,0.016,2.29525295166598e-25
"KCNJ11",1.45537267100697e-30,-0.409927185377874,0.021,0.03,2.32362760196242e-25
"PRR7",1.4593344718881e-30,-0.334545829083618,0.06,0.074,2.3289319441381e-25
"ITPKA",1.54013771472097e-30,-0.25274779864352,0.099,0.116,2.45680813228593e-25
"PYGO2",1.61351241039113e-30,-0.366623782634484,0.05,0.063,2.57272760888311e-25
"THOP1",1.65128795529575e-30,-0.281161427466637,0.103,0.121,2.63180801525167e-25
"BRI3BP",1.66035130223762e-30,-0.172447704409551,0.182,0.204,2.64509550574034e-25
"ELOC",1.676970395798e-30,-0.141666554313762,0.158,0.18,2.67040312670902e-25
"KCNJ9",1.69391363776318e-30,-0.117245359644851,0.138,0.158,2.6962045730752e-25
"SIL1",1.69968476649783e-30,0.181995947995847,0.329,0.308,2.70420857695655e-25
"ATG9A",1.71389736451222e-30,-0.210275690235628,0.12,0.139,2.72563015347832e-25
"PRELID3B",1.7297205576955e-30,-0.459011187196011,0.022,0.031,2.74959325887775e-25
"PKD2",1.73242030256754e-30,0.138151532744268,0.396,0.376,2.75268329888075e-25
"PPM1E",1.89224793173369e-30,0.18705856454941,0.408,0.389,3.0053259476479e-25
"CYP26B1",1.91969647350629e-30,-0.216669806362347,0.035,0.046,3.04759147505872e-25
"P2RY1",1.94193447510093e-30,-1.14679656709371,0.008,0.014,3.08155184254276e-25
"C21orf62-AS1",2.05829688432351e-30,0.197831986496058,0.092,0.076,3.26477855794253e-25
"FMR1",2.06376841373074e-30,-0.185416011023517,0.159,0.18,3.27203215232128e-25
"AC007384.1",2.06527320594881e-30,-0.380671376550271,0.039,0.052,3.27299304837782e-25
"AC106795.3",2.10023702835118e-30,0.380672534003443,0.061,0.048,3.32695507387587e-25
