C1=CC=C(C=C1)CC(C(=O)O)N cid6140
CCCCC(=O)O cid7991
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C cid31401
C(C(CO)O)O cid753
CCCCCCCCCC(=O)O cid2969
C1C(COC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O cid9795113
C(C(C(=O)O)N)C(=O)O cid5960
C1=CC(=CC=C1CC(C(=O)O)N)O cid6057
CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C cid10133
CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C cid12544
CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C cid12310288
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C cid2733768
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C cid439763
C(CO)C(C(=O)O)N cid12647
OC=1C=C(C=CC1O)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid1
OC=1C=C(C=CC1O)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid2
OC=1C=C(C=CC1)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid3
OC=1C=C(C=CC1O)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid4
OC=1C=C(C=CC1)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid5
OC=1C=C(C=CC1O)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid12
OC=1C=C(C=CC1O)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid13
OC=1C=C(C=CC1O)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid14
OC=1C=C(C=CC1)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid15
O[C@H](CCC(=O)O)CC1=CC(=C(C=C1)O)O nocid17
O[C@H](CCC(=O)O)CC1=CC(=CC=C1)O nocid18
O[C@@H](CCC(=O)O)CC1=CC(=C(C=C1)O)O nocid21
O[C@@H](CCC(=O)O)CC1=CC(=CC=C1)O nocid22
OC=1C=C(C=CC1)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid32
OC=1C=C(C=CC1O)C[C@H](CC1=C(C=C(C=C1O)O)O)O nocid33
OC=1C=C(C=CC1)C[C@@H](CC1=C(C=C(C=C1O)O)O)O nocid34
