"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"KIAA2022",0.0398373714864473,0.10011154446091,0.154,0.14,0.0437692032650771
"SNRNP200",0.0405444513388121,-0.22656604283794,0.095,0.107,0.0445315644304178
"GTF2H1",0.0407481578563532,0.165111658038407,0.1,0.089,0.0447407345213149
"HNRNPC",0.0408695071684672,-0.122608859226352,0.153,0.16,0.0448593711940253
"ABCB9",0.0411274187656354,0.157932120161428,0.108,0.094,0.045127776023581
"MRPS9",0.0413065690498971,0.131745188269534,0.126,0.113,0.0453096121643261
"DNAJC10",0.0417207296353713,0.187108837035017,0.137,0.116,0.0457490315540011
"CUTA",0.0418669933302523,-0.193702767739905,0.102,0.115,0.0458944974010208
"KDM7A",0.0423489649370293,0.172500317906706,0.106,0.092,0.0464077513751137
"SIRT2",0.0423698706630188,-0.153606492459402,0.113,0.118,0.0464155809504263
"ATG13",0.0432699305994444,-0.209357983007129,0.093,0.103,0.0473861934778981
"ANAPC1",0.0435540397926809,0.177080418059115,0.118,0.102,0.0476700928128588
"ISCU",0.0435574343460513,-0.147537149527364,0.172,0.186,0.0476700928128588
"SRP9",0.0440630553412031,-0.129939482772941,0.132,0.142,0.0482078124118969
"AGAP3",0.0443190763903138,-0.145256949088395,0.202,0.212,0.0484721934709884
"MAML3",0.0446818354169788,0.209776272257951,0.121,0.105,0.0488531056277048
"DOCK10",0.0448638350199669,-0.134924180566139,0.156,0.159,0.0490362007525432
"EDIL3",0.0451583677889476,-0.21113044689493,0.294,0.308,0.0493421362332752
"KIAA1456",0.0454442669420671,0.123144525103625,0.196,0.182,0.0496384431332876
"SH3BGRL",0.0460428556947176,0.101580340282368,0.132,0.12,0.0502759961988612
"CBR4",0.0466924308708443,0.116322130780459,0.166,0.149,0.0509529424673792
"XPO6",0.0466930166518438,-0.120881124029823,0.132,0.135,0.0509529424673792
"GOLIM4",0.0469828012875562,-0.164795376391129,0.091,0.101,0.0512525836814123
"NFIX",0.0470449366829342,-0.140464055873729,0.193,0.2,0.0513037734987187
"PIANP",0.0471349090888018,-0.174059128249973,0.111,0.123,0.0513852774261566
"CLDN11",0.0473903289646159,-0.292117570808832,0.119,0.123,0.0516470370267042
"ZNF264",0.0474377911570423,0.171366895966592,0.102,0.088,0.0516820638154727
"EFCAB7",0.0475937560994076,0.223145252208508,0.125,0.106,0.051835240336875
"GABRA1",0.0476116617192631,-0.156936806291135,0.353,0.365,0.0518380035439233
"PRKCG",0.0477765219538629,-0.143545604231446,0.124,0.131,0.0520007126654984
